Code_commune_INSEE,Nom_commune,Code_postal
02552,NEUVILLETTE,02390
02559,NOUVION ET CATILLON,02270
02560,NOUVION LE COMTE,02800
02564,NOYANT ET ACONIN,02200
02567,OHIS,02500
02570,OLLEZY,02480
02576,OSLY COURTIL,02290
02587,PARFONDRU,02840
02588,PARGNAN,02160
02590,PARGNY LA DHUYS,02330
02605,PLEINE SELVE,02240
02608,PLOMION,02140
02618,PREMONT,02110
02620,PRESLES ET BOVES,02370
02623,PRISCES,02140
02626,PROUVAIS,02190
02635,RAMICOURT,02110
02643,RESSONS LE LONG,02290
02645,REUILLY SAUVIGNY,02850
02649,ROCOURT ST MARTIN,02210
02670,ST ALGIS,02260
02672,ST BANDRY,02290
02675,STE CROIX,02820
02676,ST ERME OUTRE ET RAMECOURT,02820
02680,ST GOBAIN,02410
02681,ST GOBERT,02140
02685,ST NICOLAS AUX BOIS,02410
02695,ST THIBAUT,02220
02699,SAPONAY,02130
02701,SAULCHERY,02310
02716,SERVAIS,02700
02720,SISSONNE,02150
02728,SORBAIS,02580
02749,TROESNES,02460
02754,UGNY LE GAY,02300
02757,VADENCOURT,02120
02758,VAILLY SUR AISNE,02370
02759,LA VALLEE AU BLE,02140
02779,VENEROLLES,02510
02780,VENIZEL,02200
02794,VEZILLY,02130
02802,LA VILLE AUX BOIS LES DIZY,02340
02803,LA VILLE AUX BOIS LES PONTAVERT,02160
02807,VILLEQUIER AUMONT,02300
02812,VILLERS HELON,02600
02826,VOULPAIX,02140
02827,VOYENNE,02250
02831,WATIGNY,02830
03006,ARFEUILLES,03120
03017,BARRAIS BUSSOLLES,03120
03028,BILLEZOIS,03120
03029,BILLY,03260
03039,BRESNAY,03210
03049,CESSET,03500
03054,CHAPEAU,03340
03056,LA CHAPELLE,03300
03057,LA CHAPELLE AUX CHASSES,03230
03060,CHARMEIL,03110
03067,CHATELPERRON,03220
03077,CHIRAT L EGLISE,03330
03079,CINDRE,03220
03082,COMMENTRY,03600
03083,CONTIGNY,03500
03085,COULANDON,03000
03086,COULANGES,03470
03091,CRECHY,03150
03095,CUSSET,03300
03099,DEUX CHAISES,03240
03100,DIOU,03290
03101,DOMERAT,03410
03104,DOYET,03170
03108,ECHASSIERES,03330
03114,LA FERTE HAUTERIVE,03340
03115,FLEURIEL,03140
03117,FRANCHESSE,03160
03120,GARNAT SUR ENGIEVRE,03230
03121,GENNETINES,03400
03128,HURIEL,03380
03131,ISSERPENT,03120
03135,LALIZOLLE,03450
03136,LAMAIDS,03380
03137,LANGY,03150
03139,LAPRUGNE,03250
03140,LAVAULT STE ANNE,03100
03142,LENAX,03130
03143,LETELON,03360
03146,LIMOISE,03320
03150,LOUROUX BOURBONNAIS,03350
03156,LUSIGNY,03230
03158,HAUT BOCAGE,03190
03158,HAUT BOCAGE,03190
03159,MALICORNE,03600
03160,MARCENAT,03260
03165,LE MAYET DE MONTAGNE,03250
03167,MAZIRAT,03420
03174,MOLLES,03300
03176,MONETAY SUR ALLIER,03500
03181,MONTCOMBROUX LES MINES,03130
03189,MONTVICQ,03170
03202,NOYANT D ALLIER,03210
03208,LE PIN,03130
03213,REUGNY,03190
03214,ROCLES,03240
03219,ST BONNET DE FOUR,03390
03224,ST CLEMENT,03250
03229,ST ENNEMOND,03400
03231,ST FARGEOL,03420
03233,ST GENEST,03310
03237,ST GERMAIN DE SALLES,03140
03243,ST MARCEL EN MURAT,03390
03249,ST PALAIS,03370
03251,ST PLAISIR,03160
03253,ST POURCAIN SUR BESBRE,03290
03254,ST POURCAIN SUR SIOULE,03500
03255,ST PRIEST D ANDELOT,03800
03261,STE THERENCE,03420
03262,ST VICTOR,03410
03277,TARGET,03140
03283,THIEL SUR ACOLIN,03230
03285,TORTEZAIS,03430
03288,TREIGNAT,03380
03289,TRETEAU,03220
03292,TRONGET,03240
03294,USSEL D ALLIER,03140
03296,VALIGNY,03360
